;id;name;image_path;type;region;country;winery;tastes;year
159290010;159290010;Bernard-Massard Pinot Blanc Grand Premier Cru 2018;Images_saved\img_198.jpg;2;Côtes de Grevenmacher;Luxembourg;Bernard-Massard;[['tree_fruit', 15, 2800], ['citrus_fruit', 10, 1200], ['earth', 5, 700], ['tropical_fruit', 4, 400], ['vegetal', 2, 200], ['microbio', 2, 200], ['spices', 1, 100]];2018
2565118;2565118;Château Pauque Sous la Roche Riesling 2011;Images_saved\img_199.jpg;2;Moselle;Luxembourg;Château Pauque;[['earth', 10, 1100], ['tree_fruit', 8, 1000], ['citrus_fruit', 6, 800], ['oak', 5, 357], ['tropical_fruit', 4, 400], ['microbio', 4, 266], ['spices', 2, 151], ['non_oak', 2, 26], ['floral', 1, 100]];2011
12804550;12804550;Domaines Vinsmoselle Lëtzebuerger Musel Pinot Gris Premier Cru 2013;Images_saved\img_200.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 7, 1100], ['citrus_fruit', 4, 400], ['earth', 3, 300], ['tropical_fruit', 3, 400], ['red_fruit', 2, 200], ['microbio', 2, 66], ['non_oak', 2, 76], ['oak', 2, 252], ['dried_fruit', 1, 100], ['spices', 1, 6], ['floral', 1, 100]];2013
111203393;111203393;Domaines Vinsmoselle Schengen Markusberg Pinot Gris Grand Premier Cru 2015;Images_saved\img_201.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 4, 600], ['citrus_fruit', 2, 200], ['vegetal', 2, 200], ['earth', 2, 300], ['microbio', 2, 200], ['non_oak', 2, 109], ['spices', 1, 6], ['floral', 1, 100], ['oak', 1, 85]];2015
12027446;12027446;Poll Fabaire Brut 2010;Images_saved\img_202.jpg;3;Crémant de Luxembourg;Luxembourg;Poll Fabaire;[['tree_fruit', 36, 5700], ['earth', 26, 2630], ['citrus_fruit', 26, 3200], ['non_oak', 24, 2019], ['oak', 19, 1024], ['microbio', 14, 1028], ['vegetal', 6, 430], ['tropical_fruit', 4, 333], ['spices', 2, 36], ['red_fruit', 2, 200], ['dried_fruit', 1, 100]];2010
144942308;144942308;Château Edmond de la Fontaine Chardonnay Grand Premier Cru 2015;Images_saved\img_203.jpg;2;Moselle;Luxembourg;Château Edmond de la Fontaine;[['oak', 6, 562], ['non_oak', 3, 93], ['tree_fruit', 2, 300], ['citrus_fruit', 2, 400], ['spices', 2, 12], ['red_fruit', 1, 100], ['tropical_fruit', 1, 100], ['floral', 1, 100], ['vegetal', 1, 100], ['earth', 1, 100], ['microbio', 1, 33]];2015
1574531;1574531;Gales Auxerrois Remich Hopertsbour Grand Premier Cru 2011;Images_saved\img_204.jpg;2;Moselle;Luxembourg;Gales;[['tree_fruit', 3, 300], ['citrus_fruit', 3, 400], ['tropical_fruit', 2, 200], ['vegetal', 2, 200], ['earth', 2, 200]];2011
5118017;5118017;Domaines Vinsmoselle Lëtzebuerger Musel Rivaner 2013;Images_saved\img_205.jpg;2;Côtes de Grevenmacher;Luxembourg;Domaines Vinsmoselle;[['citrus_fruit', 8, 900], ['tree_fruit', 6, 900], ['tropical_fruit', 2, 200], ['earth', 2, 200]];2013
7175963;7175963;Château Edmond de la Fontaine Pinot Noir Rouge 2013;Images_saved\img_206.jpg;1;Moselle;Luxembourg;Château Edmond de la Fontaine;[['red_fruit', 9, 1000], ['oak', 7, 769], ['earth', 6, 542], ['non_oak', 6, 83], ['tropical_fruit', 1, 100], ['tree_fruit', 1, 100], ['spices', 1, 106]];2013
151155171;151155171;Desom Bech Kleinmacher Enschberg Pinot Noir 2015;Images_saved\img_207.jpg;1;Moselle;Luxembourg;Desom;[['red_fruit', 7, 800], ['oak', 7, 1285], ['non_oak', 6, 72], ['spices', 5, 232], ['earth', 3, 111]];2015
